id,creditLimit,gender,edu,age,nDelay,billAmt1,billAmt2,billAmt3,billAmt4,billAmt5,billAmt6,default
66,8300,0,2,40,0,664,747,747,830,830,830,0
67,5000,0,3,35,0,4100,4000,3750,3650,3550,3400,0
68,2300,1,2,22,0,2346,2139,1127,2323,2277,2277,0
69,13300,0,1,42,0,4655,0,133,133,3857,1995,0
70,48000,0,2,37,0,480,960,1440,5280,3840,3840,0
71,10000,1,2,32,0,100,100,100,100,100,100,0
72,6000,0,2,44,3,4440,4320,4740,5460,5340,5460,1
73,25500,1,1,30,0,1275,1530,1275,1530,765,765,0
74,11800,1,2,33,0,12036,10738,10974,10738,10974,10974,0
75,800,0,5,21,0,616,648,640,648,0,0,0
76,16200,0,1,32,0,15390,15066,12798,8910,7452,6966,0
77,15000,0,1,30,0,300,0,150,750,0,0,0
78,41700,1,1,48,0,40032,35028,25854,24603,12510,9174,1
79,17300,0,1,38,0,3633,3114,3114,3287,3287,3460,0
80,13600,0,1,25,0,13736,13736,14008,14280,14144,14008,0
81,3000,0,3,58,0,-30,30,-30,90,0,0,0
82,8700,0,2,31,2,9918,9657,9831,9135,9222,9483,0
83,1500,0,3,37,0,0,105,0,0,0,0,0
84,5800,0,2,43,2,2610,2958,2900,2958,3132,3074,0
85,16400,0,2,25,0,16400,14268,14596,12136,7380,3936,0
86,21700,1,1,43,0,2821,0,0,0,0,0,0
87,8000,0,3,46,0,19520,19760,20240,0,0,4880,0
88,16700,0,3,42,0,0,0,0,0,0,0,0
89,25300,0,1,42,0,759,759,759,4048,506,1012,0
90,10000,0,2,27,0,100,100,200,200,200,100,0
91,27300,0,2,40,1,0,0,0,0,0,0,1
92,2700,0,3,43,0,891,945,1026,1080,1107,1134,0
93,800,1,3,40,0,56,40,32,240,80,0,1
94,1500,0,2,40,3,870,975,1005,975,1050,1020,1
95,25000,1,1,39,0,8750,8500,8750,8500,9250,9250,0
96,20700,1,2,27,0,4554,2898,4140,6003,3933,2898,0
97,23100,1,2,44,1,8778,18249,18249,18018,18018,18018,1
98,14300,0,1,24,0,572,0,0,429,858,286,0
99,27700,0,1,42,2,0,0,0,0,0,0,1
100,2100,0,2,24,2,1764,1848,1806,1848,1911,1974,0
101,8000,0,2,21,0,560,240,80,0,80,560,1
102,3600,0,2,26,0,3456,3276,3132,1188,720,720,0
103,22700,0,1,54,1,0,0,227,0,454,0,0
104,5000,1,1,28,0,1650,0,0,0,0,0,0
105,11500,1,3,47,0,0,0,690,115,115,115,0
106,5400,0,1,22,2,2862,3078,3024,3186,3024,3132,1
107,10900,0,2,31,0,327,218,0,545,0,545,0
108,11000,0,2,27,2,10450,10450,9460,8910,8250,7590,0
109,5000,1,2,38,2,2250,2750,2650,100,50,1400,1
110,4200,1,3,37,2,252,294,252,0,126,420,1
111,30000,1,2,35,1,0,0,0,0,0,0,0
112,1500,1,2,36,0,1395,1440,1485,1125,1140,1440,0
113,15500,0,1,32,0,0,1395,0,0,155,0,0
114,22100,1,2,36,0,221,0,1547,0,0,0,0
115,15000,0,1,36,1,0,0,0,0,0,0,1
116,23600,0,1,29,0,0,236,0,0,0,0,0
117,15500,0,2,40,0,2015,1860,2015,1860,1705,1705,0
118,20800,0,1,26,0,416,416,208,0,208,0,0
119,25000,1,1,60,0,18750,19250,18750,19250,19500,19750,0
120,7300,0,2,25,2,7446,7154,7227,7373,7592,7373,1
121,25700,1,2,28,0,19018,18761,18504,18247,17476,17990,0
122,24700,0,1,40,0,0,0,0,0,0,0,0
123,6200,0,3,58,2,62,62,1178,1178,1178,1178,0
124,10000,0,2,34,2,2900,2800,3100,3200,3300,3300,1
125,12300,0,3,42,0,0,0,0,0,0,0,0
126,4500,0,3,44,0,1080,1305,1440,1620,1755,1980,0
127,2700,1,2,29,0,2160,2322,1998,2133,2160,2241,1
128,7500,0,2,23,3,3300,3225,3075,2700,2775,2775,0
129,1500,1,3,50,2,1455,285,240,-15,735,735,0
130,15400,0,3,37,1,0,0,0,154,308,308,0
131,25000,0,1,35,0,500,1000,1750,10000,8500,3500,0
132,10000,0,3,53,5,800,1000,900,1000,1100,1300,0
133,3800,1,2,49,0,3306,3382,3116,3192,1558,1558,0
134,14000,0,3,50,0,3780,3920,3920,4060,4060,4340,0
135,18200,1,1,24,0,4550,4732,4732,4732,4914,2002,0
136,9200,0,2,29,2,4048,3956,4416,4324,4600,4692,0
137,4700,1,3,28,0,4794,3290,3149,1927,282,235,0
138,13300,0,1,29,0,266,399,266,266,399,266,0
139,6000,0,1,27,0,3960,4080,4080,3960,3840,4020,0
140,3600,0,2,35,2,1908,1836,1908,1980,2016,2088,0
141,11000,1,3,37,0,2420,2530,2640,2750,2750,2860,0
142,8300,1,2,29,3,1992,2075,2075,2241,2241,2158,1
143,19200,0,1,27,0,8832,9024,9216,4992,5184,5376,0
144,3300,1,3,44,3,1947,1881,2079,2211,2145,2112,0
145,5400,0,2,23,3,3294,3348,3672,3564,3672,3564,1
146,13000,0,3,23,0,13260,13390,12870,13130,13260,13000,0
147,1400,1,2,51,2,1372,1400,1358,0,0,14,0
148,30700,1,1,67,0,307,0,614,0,3070,2456,0
149,30000,1,1,40,0,300,1500,300,300,0,600,0
150,2500,1,2,45,2,1700,1650,1750,1800,2100,2025,0
151,16900,1,1,53,0,0,0,0,0,0,0,0
152,10700,0,1,43,0,214,107,0,0,0,0,0
153,5000,0,2,23,2,4700,4800,4900,4950,4800,5100,1
154,15400,0,3,38,0,14476,13244,12936,9856,10164,9856,1
155,5700,0,2,23,0,5472,5016,4902,1938,1995,2109,0
156,18500,0,2,31,0,1295,1110,925,1110,925,555,0
157,12000,0,2,29,0,720,600,480,480,360,480,0
158,3000,0,2,31,0,1710,2880,2910,930,60,60,1
159,22900,0,3,51,0,0,229,0,0,229,0,0
160,16000,0,1,28,0,13600,13600,13600,13760,10240,9280,0
161,9200,0,2,24,0,2668,2760,2116,2024,920,276,1
162,18000,0,2,27,2,1440,0,0,0,180,0,0
163,4000,0,2,30,0,2760,3000,2600,2120,2000,2000,0
164,9100,1,2,38,0,6006,3367,7007,3549,4368,1911,0
165,43300,1,3,42,2,36372,30310,27712,20784,21217,21650,1
166,10000,0,2,32,2,5900,6800,7100,7300,7400,7600,0
167,17300,0,2,31,0,8996,9169,9169,7266,7439,6920,0
168,2700,0,3,30,0,1620,1701,1782,1620,1242,594,0
169,1400,1,3,36,0,1316,1330,1414,1386,-14,1162,0
170,6700,0,2,22,0,6834,6633,6834,5963,5360,5427,0
171,17300,0,3,36,0,0,-173,-173,173,173,346,0
172,4200,1,3,42,0,4200,4242,4074,3276,2436,2226,0
173,31000,0,2,41,0,310,0,0,310,2790,1550,0
174,2900,1,1,24,2,2668,2494,2784,2726,2813,2871,0
175,1500,1,2,28,0,1515,1515,1545,1485,1485,945,0
176,16400,0,2,29,0,0,328,1148,4592,0,0,0
177,21800,0,1,37,0,436,436,872,436,436,436,1
178,20700,0,2,49,0,0,0,0,0,0,0,0
179,12000,1,3,26,0,8640,8880,8880,5280,4680,2160,0
180,24200,0,2,30,0,0,242,0,0,0,0,0
181,23600,0,2,25,0,6844,6372,6136,2596,1180,472,0
182,2300,0,1,45,2,1357,1426,1656,1587,1633,1679,1
183,21000,0,2,52,0,2100,840,1890,210,630,2730,0
184,4600,0,1,22,0,1150,1242,1288,1196,1104,1242,0
185,4700,0,3,41,0,4371,4418,3948,3290,3290,3337,0
186,4000,1,1,24,0,3320,3400,3280,2960,2280,0,0
187,8000,0,2,22,0,7920,7840,7040,6240,5440,6080,0
188,14500,0,2,39,0,0,0,0,0,0,0,1
189,14000,0,2,24,3,13720,14560,14280,13860,13160,12320,0
190,3300,0,1,29,0,330,0,0,0,297,627,0
191,2700,0,2,47,2,2106,2052,2295,2241,2295,2322,1
192,1800,1,3,48,0,198,108,1134,144,36,1116,0
193,20000,0,2,26,1,0,200,0,400,200,0,0
194,5800,0,3,37,2,116,3422,3306,3480,3596,3538,1
195,20000,1,1,36,0,200,200,1800,1400,1200,1800,0
196,17000,0,2,27,0,0,0,0,0,-170,-170,0
197,4200,1,2,47,0,3738,3612,2982,1596,1596,1638,0
198,7000,0,2,45,0,3850,3850,3920,3990,4060,4060,0
199,3600,0,3,23,0,1944,2016,1512,108,0,0,0
200,15300,0,3,45,0,1989,1377,0,0,0,0,0
201,3600,0,2,35,0,540,144,288,36,36,36,0
202,15700,1,2,47,4,16642,15386,14130,14130,13345,12874,1
203,35500,1,1,50,0,0,0,0,355,0,710,0
204,7700,0,2,35,2,2772,2926,3003,2926,2926,3157,0
205,8000,0,1,26,0,8000,8160,8240,5440,5440,5280,0
206,14000,0,2,35,0,1540,1820,1820,1960,2100,2100,0
207,20800,1,2,41,0,3328,3536,3536,3744,3744,3952,1
208,8000,0,2,52,0,5920,5840,5680,5600,5280,5360,0
209,38200,0,2,22,0,1528,2674,11078,10696,10314,10314,0
210,1300,1,3,54,0,1235,1248,1209,1261,1261,1261,0
211,8000,0,2,41,0,6320,6320,11520,5680,5840,4720,0
212,12500,0,2,43,0,875,750,875,125,250,250,0
213,2000,0,2,32,2,1800,1900,1920,1840,1900,1940,1
214,3300,0,2,44,2,3333,3267,3333,1980,2013,2013,0
215,15800,1,1,33,2,474,474,474,316,316,316,0
216,3600,0,2,22,2,720,828,900,1044,1152,1296,1
217,13600,1,3,40,1,19448,13328,13600,0,-408,0,0
218,6700,0,3,51,0,2747,134,201,201,134,201,0
219,1700,1,3,47,0,1530,1530,1581,1615,1615,1479,0
220,31700,1,1,54,1,0,0,0,0,0,0,1
221,30000,0,1,33,0,27300,25500,25200,25500,25200,24600,0
222,15000,1,2,29,0,15150,15300,15300,15150,15000,14400,0
223,4500,0,2,26,0,2340,2475,2610,2655,2610,2610,0
224,29200,1,2,34,0,0,876,876,1168,584,584,0
225,5400,0,2,53,0,1890,0,1080,0,0,0,0
226,23100,0,2,39,0,0,0,924,924,1155,1155,0
227,7500,0,2,43,2,0,75,0,75,0,75,1
228,5000,0,2,33,0,3150,2750,2900,2950,1700,1750,0
229,9200,0,2,26,0,92,184,92,92,92,92,0
230,23100,1,3,41,0,3003,3234,3465,3696,3696,3696,0
231,35500,1,1,38,0,355,355,0,355,710,355,1
232,6000,0,2,31,0,5580,5460,4980,4380,2760,2820,1
233,3300,1,2,21,2,396,231,132,0,132,-165,0
234,10000,0,2,29,0,1600,1700,1300,1000,100,600,0
235,3000,1,1,29,2,2190,2130,2340,2280,2340,2400,1
236,2300,1,1,34,4,1702,1656,1610,1817,1771,1955,1
237,15300,1,1,59,0,13923,13770,13617,13464,13311,12699,1
238,12100,1,2,27,0,11979,10164,9559,9559,9075,8833,0
239,4300,1,2,24,2,86,129,43,43,86,43,0
240,17700,1,1,29,0,2655,2832,2832,2478,2301,2301,0
241,14600,1,2,38,2,146,584,730,0,438,146,1
242,12000,1,1,27,0,240,480,0,720,120,0,0
243,41700,0,3,36,0,2502,0,2502,1668,417,14178,0
244,4500,1,3,38,0,2430,1890,1710,1710,1710,1710,0
245,16700,0,2,49,0,10020,10187,10354,11356,11690,11857,0
246,5500,0,2,24,2,880,825,3960,3135,2640,2365,0
247,24000,1,1,30,0,720,240,0,0,0,0,0
248,4300,1,3,28,0,301,817,430,559,602,645,0
249,1400,1,2,20,2,1078,1134,1176,1218,1246,1344,0
250,15000,1,1,63,0,13200,13050,10950,10050,9150,9300,0
251,42000,0,2,44,0,840,420,420,420,420,0,0
252,22300,1,1,29,0,15164,15387,11150,11150,8474,4683,0
253,36000,0,1,49,0,1080,1080,0,360,0,0,0
254,1800,1,2,24,2,468,540,1422,1458,1530,1566,1
255,41700,1,1,41,0,4170,2919,834,0,4587,2085,0
256,6000,1,2,34,3,60,180,120,60,0,-60,1
257,1400,0,2,40,0,1120,1176,1232,1036,672,700,0
258,5800,0,2,34,0,4176,3886,3886,3480,3422,3422,0
259,6700,0,2,49,0,536,603,670,536,603,0,1
260,3600,0,2,41,2,3672,3384,3672,3600,3600,3636,0
261,12000,0,2,34,0,240,0,120,720,120,120,0
262,13000,0,3,40,0,12740,13000,13000,9620,9750,9750,1
263,30000,0,2,35,0,300,900,600,0,0,0,0
264,17100,1,3,38,0,684,171,171,171,342,342,0
265,6700,0,1,30,0,2747,0,0,5025,5092,5092,0
266,13300,0,2,38,2,14231,13965,13699,13433,11571,11305,0
267,21800,0,2,32,0,11990,12208,12426,12644,12862,13080,0
268,24200,0,2,31,2,5324,5082,5324,5324,5324,5324,1
269,2000,1,3,56,0,1960,1940,1480,1440,1460,1220,0
270,3000,1,1,23,0,2850,2970,3060,2940,3000,3030,0
271,30700,0,1,37,0,0,0,1535,307,921,307,0
272,18300,1,2,38,5,15555,14640,13542,10614,10980,8967,0
273,5700,0,2,24,2,5301,5472,5643,5700,3762,3876,0
274,13600,0,3,46,1,0,952,1088,680,544,680,0
275,2000,1,1,25,2,660,740,880,940,1840,1920,1
276,29300,0,5,63,0,8790,9083,9083,9376,9669,9962,0
277,7700,0,2,28,0,7546,7469,7007,5852,5929,6006,0
278,1500,0,2,23,0,375,435,510,540,555,555,0
279,16400,0,3,41,0,11972,4264,4428,4428,4428,4100,0
280,3300,1,3,25,0,594,660,726,792,825,825,0
281,14000,0,1,39,0,10640,10360,10080,9800,9800,9660,0
282,23000,1,2,33,1,0,230,0,0,0,0,0
283,19200,0,1,39,0,192,192,576,192,576,960,0
284,13000,1,1,28,0,260,0,0,0,0,0,0
285,15700,0,3,26,0,6751,8792,6594,6751,6751,6751,0
286,43000,0,1,35,0,4300,4300,4300,4730,4730,13760,0
287,5000,0,1,24,2,400,400,0,0,0,0,1
288,10000,1,2,28,0,500,300,400,100,300,200,0
289,16700,0,2,31,2,16867,17201,16867,16533,11857,8350,1
290,12100,0,1,25,0,1573,968,726,726,363,484,0
291,10000,1,1,38,2,4800,4700,5000,5100,5000,5300,0
292,13600,0,2,38,0,6936,7208,6120,6256,6392,6528,0
293,6700,0,2,22,0,6834,6633,6834,5963,5360,5427,0
294,23000,0,3,41,0,230,690,460,230,230,230,0
295,22100,0,1,27,0,221,2652,2210,1547,884,0,0
296,2100,0,3,43,2,147,546,0,21,0,378,0
297,8000,1,1,36,0,3520,2640,1360,640,960,240,0
298,35500,1,1,44,0,710,0,1775,1065,710,710,0
299,40000,1,2,35,0,400,400,400,800,0,2000,0
300,5000,1,1,52,0,4800,4850,900,900,900,950,0
301,21000,1,1,32,0,0,0,0,0,210,0,0
302,8600,0,1,32,0,86,1290,344,516,0,0,0
303,2700,1,2,26,4,972,945,918,891,1026,999,1
304,5500,0,2,24,0,3300,3410,3520,3685,5390,5225,0
305,800,0,3,48,0,568,648,736,768,728,752,0
306,7700,1,2,44,0,77,0,0,0,0,0,0
307,13800,1,1,42,0,1380,1518,1242,1242,552,414,0
308,2700,1,1,34,0,2025,1755,1863,1863,1890,2025,1
309,6700,0,2,57,2,5829,5896,5762,5829,5896,5159,1
310,20000,0,1,57,0,11000,11200,9600,7800,8200,7800,1
311,10800,1,3,54,0,10260,10476,6264,6480,6588,6696,0
312,20900,1,1,36,0,0,418,209,627,0,0,0
313,25800,1,2,35,0,7998,7998,6966,3870,3612,3612,0
314,7300,0,2,44,0,7592,-730,0,0,0,0,0
315,15400,0,2,45,0,0,0,0,0,154,0,0
316,29200,0,2,44,0,23360,20440,18104,17228,17228,17228,0
317,17500,0,3,24,0,350,0,0,0,0,0,0
318,20000,0,1,27,0,9800,10000,10200,10400,10400,10600,0
319,6200,1,2,41,0,1860,1364,1178,0,248,0,0
320,39200,0,1,34,0,1176,392,392,3528,3528,3528,0
321,18500,0,1,29,0,925,370,370,555,370,370,0
322,10900,0,1,24,0,7303,7412,7630,7739,7630,7739,0
323,700,1,2,59,0,476,546,609,623,637,651,0
324,18000,1,1,24,0,2520,2520,1260,360,0,0,0
325,4200,1,3,46,2,4368,4452,4326,0,0,0,1
326,8000,1,2,62,2,4880,4960,5040,5120,5200,5280,1
327,9200,1,2,43,0,2576,2576,2484,2484,2300,2024,0
328,1800,0,3,25,2,558,216,360,396,288,288,1
329,3300,0,3,43,0,2079,1980,1980,1947,2013,1947,0
330,7300,0,2,48,0,7446,7519,0,0,0,0,0
331,22000,0,2,40,8,25080,24860,24420,23980,23540,23100,1
332,14300,0,1,29,1,0,429,143,429,0,0,0
333,14600,0,1,35,0,3212,3504,876,146,0,292,0
334,16700,1,2,53,2,2004,2004,2171,2171,2338,2505,1
335,24200,0,2,36,0,2178,3146,2420,1936,2904,2662,0
336,1400,0,1,29,2,406,532,532,518,518,532,1
337,2000,0,2,20,2,1520,1780,1720,2040,2080,2040,0
338,3300,0,1,33,0,0,132,0,0,0,0,0
339,3800,0,2,26,0,3040,1710,38,2052,2052,2052,0
340,10900,0,2,26,2,872,981,1417,872,4142,2834,0
341,3300,0,3,27,0,3168,3432,1320,363,330,297,0
342,6900,0,2,28,0,1518,1380,621,0,0,0,0
343,15400,1,2,46,0,0,0,0,0,0,154,0
344,10000,0,3,49,0,10300,0,9900,6700,6700,6900,0
345,8300,1,1,29,2,83,83,83,166,83,83,1
346,13600,0,1,34,0,544,272,0,0,0,0,0
347,2100,1,2,44,3,903,861,1050,966,777,672,1
348,7300,0,2,33,0,1460,1825,2117,2482,2847,3431,0
349,2000,1,2,25,0,200,300,340,0,0,0,0
350,12900,1,3,52,0,10707,9804,8901,7998,7095,6063,1
351,21800,0,1,39,0,14388,15042,15696,16132,16132,16132,0
352,17000,0,1,30,0,0,1870,3060,0,0,170,1
353,14000,0,1,31,1,0,0,0,0,0,0,0
354,3300,1,2,32,0,1584,1716,1980,1980,396,198,0
355,13800,0,1,31,0,17664,2346,2484,4002,4002,4140,0
356,18300,0,1,38,0,915,915,732,915,1464,915,0
357,4200,1,2,24,0,3192,2394,1932,1806,1512,1554,0
358,3000,1,2,37,0,3000,2460,2970,2970,3000,2970,0
359,3600,0,2,27,0,108,0,0,0,0,0,1
360,1500,1,2,35,0,840,900,1080,1170,1230,1260,0
361,14300,0,1,57,0,0,0,0,0,429,0,0
362,4000,0,3,48,0,6920,3600,3720,3760,3840,0,0
363,26200,1,1,51,0,0,0,0,0,0,0,1
364,2700,0,2,37,3,2376,2646,2673,2700,2646,2808,1
365,3300,1,2,26,0,33,33,33,33,66,33,1
366,7300,0,1,30,3,6570,6424,6570,6643,7519,7446,1
367,5000,1,2,38,2,1100,1250,1400,1350,1350,1350,1
368,10900,0,1,39,2,0,0,0,0,109,0,1
369,2000,0,2,21,2,700,780,900,940,960,1140,1
370,8500,0,3,47,0,9945,10115,10285,10540,10625,6035,0
371,6200,0,2,31,0,0,0,0,0,0,0,0
372,24700,0,1,40,0,0,0,0,0,0,0,0
373,4500,1,2,44,0,4545,4590,4320,1800,1845,1845,1
374,19300,0,1,29,0,5211,4825,4439,4439,4246,4825,0
375,50000,1,1,30,0,38500,39000,29500,27500,25500,25500,0
376,4500,1,3,35,0,990,315,405,225,0,0,0
377,25000,0,1,40,0,750,750,1000,750,3750,3250,0
378,2100,1,2,33,0,2121,2142,2100,2121,4200,2100,0
379,3600,1,2,43,0,2844,2916,3060,3168,3204,3312,0
380,4500,0,2,27,0,630,180,675,270,270,45,0
381,18200,1,1,34,1,0,0,0,0,364,0,0
382,22000,0,2,45,0,13860,12980,12760,12100,12100,11880,0
383,16700,1,1,26,0,16032,13360,10020,9686,6680,3340,0
384,7300,1,1,27,1,6789,0,0,0,0,0,0
385,10000,0,1,36,0,15000,9700,9400,7200,7000,7000,0
386,3800,1,2,24,2,2888,1330,1406,1520,1482,1444,0
387,25800,0,1,30,0,258,0,0,0,0,0,1
388,18000,0,3,42,0,540,360,1440,1080,360,180,0
389,20700,0,2,32,0,4968,5175,5175,4761,5175,5382,0
390,8000,0,2,35,0,160,-80,-80,80,80,0,0
391,31000,1,1,48,2,3100,620,310,310,0,0,0
392,3300,1,2,21,2,396,231,132,0,132,-165,0
393,4200,1,1,25,3,630,630,672,714,756,798,1
394,15400,0,2,56,0,308,15400,0,0,0,154,0
395,7300,1,5,22,0,4818,4599,4088,2044,1898,0,0
396,8000,0,2,29,0,2240,1520,800,240,240,80,0
397,10800,1,2,30,0,0,0,0,0,0,0,0
398,5000,0,3,46,0,-150,250,350,2000,1950,2000,0
399,25400,0,1,39,0,9144,8636,7620,7366,7366,7112,0
400,700,0,2,36,3,532,518,574,686,665,686,1
401,2000,0,3,47,0,1880,1960,1460,1500,1520,400,0
402,45500,1,1,28,0,23205,20475,44135,55965,22750,26845,0
403,12000,0,2,33,0,4920,2040,480,360,240,3600,0
404,8500,1,2,52,0,8500,8500,8500,5185,3825,3825,0
405,40000,1,2,42,0,800,800,800,800,800,800,0
406,5000,0,1,30,2,4200,4300,4400,4500,4650,4750,0
407,14300,1,1,27,2,9867,10153,10868,10868,11726,11583,0
408,13300,1,1,57,0,12635,12901,12901,6517,6783,0,0
409,3600,1,2,57,2,3456,3528,3600,1404,1440,1476,0
410,1400,1,1,25,0,504,910,616,672,826,770,0
411,26700,0,2,29,3,7743,7476,7743,8811,8811,8544,1
412,12300,0,3,34,0,0,0,123,0,0,0,1
413,10000,1,1,25,0,9800,9600,9500,8900,6600,6700,0
414,22100,1,2,36,0,221,0,1547,0,0,0,0
415,33300,0,1,38,0,333,8991,9324,10656,9324,7659,0
416,22000,1,2,39,0,0,0,0,0,0,0,0
417,5300,0,1,30,0,5194,5141,4876,4717,4452,4452,0
418,16900,0,1,37,2,1014,338,169,338,338,0,0
419,25000,1,2,26,0,4250,4250,4250,4250,4250,4000,0
420,16400,0,1,26,0,2460,2296,2296,5740,4264,2952,0
421,32700,0,1,30,2,327,981,327,327,654,654,0
422,38700,1,1,45,0,17802,17802,17028,17028,16641,15867,0
423,10900,1,1,25,0,4796,4578,4142,3270,2834,2834,0
424,1800,1,1,51,0,1800,36,36,72,72,936,0
425,10000,1,2,32,0,200,100,200,0,0,0,1
426,24700,0,1,47,0,1729,0,11115,11362,11362,0,0
427,15300,0,3,30,0,0,0,918,918,918,0,0
428,30000,0,2,33,0,24900,25500,5100,5700,6300,6900,0
429,15000,0,2,27,0,0,0,150,150,0,150,0
430,10000,0,3,29,0,9800,9400,8800,7700,7100,7500,0
431,22000,0,1,27,1,0,0,220,0,0,220,0
432,7300,0,1,36,0,0,146,292,438,0,219,0
433,15000,0,1,27,0,1950,150,1800,1050,750,600,0
434,7000,0,2,42,2,4480,4550,4690,4550,4900,4760,1
435,20000,1,4,25,0,200,200,200,800,3800,1600,0
436,4500,0,2,28,2,2070,1980,2025,45,180,90,0
437,35000,1,2,44,0,32550,33250,34300,35000,30450,31150,0
438,4500,0,3,46,0,315,0,180,135,180,90,0
439,24600,0,2,45,0,246,1476,1722,1230,2952,246,0
440,26400,0,0,39,1,0,0,264,0,264,264,0
441,9200,0,2,28,0,6072,3588,5796,3312,1196,184,0
442,40000,0,2,36,0,400,400,0,400,400,400,0
443,15000,0,1,31,0,14550,14400,10950,10950,12150,12750,0
444,16700,1,1,54,2,11523,11690,11857,12024,12358,12525,1
445,8000,0,3,33,0,4400,4560,4640,4800,5280,5440,0
446,6400,1,2,29,0,6208,6080,6208,6144,6080,5952,0
447,36000,1,1,27,0,360,0,720,0,0,0,0
448,7100,1,3,53,3,4686,4615,4757,5112,4970,5112,0
449,6400,1,2,39,4,4480,4352,4224,2112,1856,1920,1
450,3100,1,3,41,2,155,124,124,62,31,155,0
451,1300,0,2,22,2,1274,1144,1183,1209,1235,975,0
452,17700,0,2,27,0,1947,1947,354,0,0,0,0
453,15800,1,2,41,0,316,316,474,474,0,948,0
454,31000,1,1,45,0,-310,-310,-310,0,310,0,0
455,38500,1,1,52,0,1155,1155,1155,0,1925,0,0
